Code	EN	RU	UZ
frr01	Order Stopped	Назначение отменено	Buyurtma to‘xtatildi
frr02	Stale-dated Order	Просроченное назначение	Muddati o‘tgan buyurtma
frr03	Incomplete data	Неполные данные	Ma'lumotlar to‘liq emas
frr04	Product unavailable	Продукт недоступен	Mahsulot mavjud emas
frr05	Ethical/religious	Этические/религиозные причины	Axloqiy/diniy sabablar
frr06	Unable to provide care	Невозможность оказать помощь	Xizmat ko‘rsatish imkonsiz
altchoice	Try another treatment first	Сначала попробовать другое лечение	Avval boshqa davolashni sinab ko‘ring
clarif	Prescription/Request requires clarification	Рецепт/Запрос требует уточнения	Retsept/So‘rov aniqlashtirishni talab qiladi
drughigh	Drug level too high	Уровень препарата слишком высок	Dori darajasi juda yuqori
hospadm	Admission to hospital	Госпитализация	Kasalxonaga yotqizish
labint	Lab interference issues	Проблемы с лабораторными показателями	Laboratoriya ko‘rsatkichlariga ta'sir qilish muammolari
non-avail	Patient not available	Пациент недоступен	Bemor mavjud emas
preg	Patient is pregnant or breastfeeding	Пациентка беременна или кормит грудью	Bemor homilador yoki emizikli
saig	Allergy	Аллергия	Allergiya
sddi	Drug interacts with another drug	Лекарственное взаимодействие	Dori vositalarining o‘zaro ta'siri
sdupther	Duplicate therapy	Дублирование терапии	Takroriy terapiya
sintol	Suspected intolerance	Подозрение на непереносимость	Dori ko‘tara olmaslikka shubha
surg	Patient scheduled for surgery	Пациент записан на операцию	Bemor operatsiyaga rejalashtirilgan
washout	Washout	Период выведения (Washout)	Organizmdan chiqarilish davri (Washout)
outofstock	Drug not available - out of stock	Препарат недоступен - нет на складе	Dori mavjud emas - omborda yo‘q
offmarket	Drug not available - off market	Препарат недоступен - снят с продажи	Dori mavjud emas - sotuvdan olingan
